Category,Reformer_Setting,Spring_Setting,Footbar_Setting,Platform Extender,Box,Toning_Balls,Target_Muscle,Workout,Flow_Series,Repetition,Repeat_Both_Side,Duration
Abs,Universal,1 Blue,Highest,Yes,Short Box against shoulder pads,No,"Abs, Hip Flexor, Quartz, Obliques",Roll back,"Setup: foot strap hook onto d ring, sit on box, right leg hook foot strap, left leg heels on footbar. Sit up tall
a. Roll back from hips. Keep shoulder wide, roll back up by tucking in chin and sit straight up.
B. Roll back from hips, maintain c curve, lift left leg to table top, straighten leg and then bend back to table top
c. Roll back from hips, straighten left leg, bring left leg back to table top and add torso twist
d. Finisher: maintain c curve roll back, straighten leg and lift it up and down an inch",4+4+4+3,Yes,7 mins
Arns,Universal,1 Blue,Highest,Yes,Short Box against shoulder pads,No,"Triceps, bicep, deltoits",Serving Tray & Tricep,"Set up: 1 hand with strap only, sit on box facing footbar
a. Serving Tray with palms face up
b.  Palm with strap faced down while palm without strap faced up, pull arm with strap back and add a torso twist.
c. chest opening. Fingers to touch, form a semi circle and open semi circle to mobilise shoulders
d. claps fingers together, hinge body forward, bend elbows so strap is behind head, straighten elbows to train triceps",4+4+4+4,Yes,5 mins
Cool Down,Universal,1 Blue,Highest,Yes,Short Box against shoulder pads,No,"Hip flexor, quartz, hemstring",Hip flexor opener,"setup: right feet on platform extender, left shin on box, hands on footbar
a. sink hips lower by pushing carriage out with left shin on box and bring back.
B.  Add on, straighten leg for hemstring stretch
c. roll downs",3+3+2,Yes ,5 mins
Warm up,Universal,1 Blue 1 Red,Lowest,Yes,off carriage,Yes,Back mobility,mat lunges,"setup: hold toning balls
a. Roll down
b. side twist in roll down position
c. back bend
d. alternate leg long line lunges, with hands holding toning balls raised forward, arms beside ears
",3+3+3+3,Yes,5 mins
Warm up,Universal,1 Blue 1 Red,Lowest,Yes,off carriage,Yes,"Hemstring, quartz, glutes",Lunges & 90-90,"a. body upright in lunge, bend back leg to 90, return to long line lunge by hinging forward
b. Finish: 90-90 knees bend pulses",6+5,Yes,5 mins
Back,Universal,1 Blue 1 Red,Lowest,Yes,off carriage,Yes,"Back, Abs, Hemstring, Glutes",Bridge,"a. spinal articulation
b. single leg bridge hip thrust with one leg table top
c. add on: extend leg in table top
d. add on: leg raise to ceiling and flex ankle
e. Finisher: 5 hip thrust",4+4+4+4,Yes,5 mins
Abs,Universal,1 Blue 1 Red,Lowest,Yes,off carriage,Yes,Abs,Core workout,"Set up: Lie on bed, shoulders away from shoulder pads
a. curl up
b. curl up with legs extension
c. add on legs raise to ceiling
d. Finisher: legs raise straight to ceiling and bring toning balls to calfs and pulse",6+6+6+5,Yes,10 mins
Legs,Universal,1 Blue,Highest,Yes,off carriage,Yes,"Glutes, Quartz, Biceps",Curtsy lunges,"setup:  left foot against left shoulder pad, right foot on floor. Hands holding toning balls
a. curtsy squat with bicep curls, ensure hips and knees are levelled
b. add on: curtsy lunge and straight arms diagonally. Come back straight up after each curtsy lunge
c. continuous curtsy lunges
d. finish with pulses",4+6+6+5,Yes,10 mins
Arms,Universal,1 Blue,Highest,Yes,off carriage,Yes,"Triceps, bicep, deltoits",shoulder press,"setup: low kneeling on middle of the bed facing right side of the bed, toes to touch, knees apart, right hand holding strap and left hand holding toning ball, w arms starting position 
a. raise arms upwards, bicep beside ears, avoid shrugging shoulders
b. add on, clasp hands together at the top and lower hands to chest level
c. add on side bend
d. Finisher: hold side bend for 3 seconds",6+6+6,Yes,5 mins
Abs,Universal,1 Blue,Highest,Yes,off carriage,Yes,Abs core,Single leg Jack Rabbits,"Set up: feet hook on platform extender edge, face back pulleys, L shaped shapes beside shoulder pads. 
a. jack rabbits with single leg raised when pushed out",8,Yes,5 mins
Back,Universal,1 Blue,Lowest,Yes,Long box,Yes,"Triceps, bicep, shoulder blade, upper back",Goal post arms,"set up: prone position, head look down facing head rest, hold toning balls palms face inwards, elbows resting beside shoulder pads, toning balls resting on railings (form a 90 degree arm)
a. open up elbows like a goal post
b. shoulder press - starting position goal post arms, straighten arms forward and breathe out and rest
c. - Finisher: continuous 5 shoulder press",4+4+5,No,5 mins
Cool Down,Universal,1 Blue,Lowest,Yes,Long Box,No,Upper back,Back extension,"setup: Hand straighten and hold onto railing, pull carriage forward and lifts chest up, tighten glutes to avoid lower back injury",3,No ,2 mins
Cool Down,Universal,1 Blue,Lowest,Yes,Long Box,No,Lower back,child pose,Child pose on box,1,No,15 seconds
